image_name,rust_ratio,cr_thr,tex_thr,iou,dice,precision,recall
335.png,4.785442352294922,132.0,20.609719848632814,0.45551761449067635,0.625918381139034,0.6460072938878814,0.6070411985018727
340.png,1.154327392578125,134.0,19.40680389404297,0.13222464923683047,0.23356610249733697,0.8151850627891606,0.13631088884590942
348.png,2.1355628967285156,131.0,23.313160705566407,0.3425503750551552,0.5102979842243646,0.6240342964319207,0.43162934362934363
353.png,1.4254570007324219,132.0,31.46751251220703,0.2171336288983348,0.3567950531362265,0.9535023750585402,0.21945736195374335
355.png,3.818511962890625,132.0,23.074839782714843,0.47485936069076795,0.6439384979302188,0.5439060939060939,0.7890579710144927
359.png,3.593158721923828,133.0,15.392166137695312,0.3205301619646559,0.4854567827330473,0.9685749927011174,0.32389853374516275
360.png,2.441120147705078,129.0,23.02545928955078,0.5329045467696348,0.6952873196085833,0.9354611868578349,0.5532450728957279
365.png,0.18911361694335938,130.0,24.35768737792969,0.24581650317368725,0.39462714219546086,0.4296520423600605,0.36488222698072803
366.png,0.255584716796875,133.0,16.420301818847655,0.6137135098438561,0.7606226335717291,0.6746268656716418,0.8717454194792671
373.png,0.8031845092773438,134.0,31.2947998046875,0.3048324438151254,0.4672361501432984,0.9969128473046782,0.305120470981575
382.png,0.06084442138671875,132.0,18.1541259765625,0.15477868621370172,0.26806640625,0.8605015673981191,0.1587622903412377
383.png,5.541801452636719,129.0,25.630125427246096,0.26722017968883155,0.42174230488414094,0.3777318877990019,0.4773607063633596
387.png,1.8957138061523438,129.0,27.2224365234375,0.6161699779249448,0.7625064025951852,0.89868195995573,0.6621691748832382
393.png,0.9961128234863281,131.0,32.993438720703125,0.3553199137311287,0.5243336427529506,0.7571086644327429,0.40103453521983873
397.png,9.544849395751953,133.0,36.208500671386716,0.4125069409336903,0.5840777542105619,0.9946245691162512,0.41342863313176953
403.png,3.3303260803222656,132.0,31.423625183105468,0.2642247728946722,0.41800284025392354,0.9861687809627445,0.2652075808799181
419.png,0.4147529602050781,133.0,25.152740478515625,0.7262068965517241,0.8413903316020775,0.9684985054035411,0.7437753840720466
430.png,12.36562728881836,138.0,30.666671752929688,0.22094422122026944,0.3619235299700216,0.9999922876996522,0.2209445977101591
442.png,5.901050567626953,129.0,18.01927490234375,0.5948842542659597,0.7459905039187352,0.8468089920325808,0.6666242589247093
443.png,1.6777992248535156,134.0,31.799671936035157,0.37025948103792417,0.5404224326292789,0.9911328369237765,0.37149005070518554
445.png,0.25119781494140625,134.0,21.72595672607422,0.3655785335840027,0.5354192740926158,0.8120728929384966,0.39936519790888725
454.png,2.93731689453125,132.0,27.213294982910156,0.1857788184587331,0.31334480860470604,0.5821753246753246,0.2143600043036976
455.png,1.8773078918457031,133.0,30.620033264160156,0.22293342316924242,0.3645879962811198,0.26893573787147573,0.5658401026079521
458.png,1.1829376220703125,132.0,19.09313201904297,0.30612659255875335,0.46875485776465103,0.4862141244759755,0.4525060024009604
461.png,0.9549140930175781,129.0,24.250509643554686,0.3693923003499841,0.5394981412639405,0.46379706381703784,0.6447313619325281
462.png,4.0508270263671875,125.0,28.01931610107422,0.33017670356453743,0.4964403641707862,0.6123457952726246,0.41742898411169954
463.png,0.45909881591796875,131.0,20.024078369140625,0.53486529318542,0.6969540526587507,0.8412962193601994,0.5948883666274971
465.png,1.8538475036621094,134.0,12.97406463623047,0.1289890589637486,0.22850364747049404,0.9909974792942023,0.1291403825140275
467.png,1.1422157287597656,129.0,27.456787109375,0.7034518157320673,0.8259133709981168,0.915421224012691,0.7523502367391752
469.png,1.338958740234375,132.0,25.36455078125,0.6341609822646658,0.7761303679957257,0.8277065527065527,0.7306048032189111
