image_name,rust_ratio,degradation_score,iou,dice,precision,recall
277.png,0.19626617431640625,0.19626617431640625,0.5576808129109384,0.716039907904835,0.9067055393586005,0.5916296766011414
281.png,9.851455688476562,9.851455688476562,0.5262420339661673,0.6895918501191439,0.6107260406582768,0.7918465709408575
283.png,5.719280242919922,5.719280242919922,0.23855739964394418,0.3852181573700561,0.27706724917043235,0.6318591474312659
286.png,4.7679901123046875,4.7679901123046875,0.5877496539450267,0.7403555749291653,0.7133970717657413,0.7694315607809298
287.png,2.3932456970214844,2.3932456970214844,0.6717912946428571,0.8036784218168467,0.9594341502291293,0.6914307047268968
293.png,1.4355659484863281,1.4355659484863281,0.4036771012006861,0.5751708863176386,0.5002989437321465,0.6763966229567092
311.png,0.49266815185546875,0.49266815185546875,0.33568575233022635,0.5026418103877979,0.48799845141308557,0.518191161356629
313.png,5.65338134765625,5.65338134765625,0.5290383488508367,0.6919883327300985,0.5482793522267206,0.937792140342778
324.png,1.9472122192382812,1.9472122192382812,0.39295647462524835,0.5642049579919095,0.5328141835635224,0.5995260663507109
325.png,4.7199249267578125,4.7199249267578125,0.37132506038144414,0.5415565880173696,0.5405115978339934,0.5426056266607168
327.png,0.9920120239257812,0.9920120239257812,0.6861855670103093,0.813890926876987,0.959815420111517,0.7064817435607132
335.png,6.902122497558594,6.902122497558594,0.4575395169888286,0.627824510630178,0.5455273993423052,0.7393632958801498
340.png,1.921844482421875,1.921844482421875,0.19064345543675454,0.3202360111521753,0.7352620087336245,0.20469427789904124
348.png,3.0828475952148438,3.0828475952148438,0.31682745145927466,0.48119812676774704,0.48156282868279404,0.48083397683397683
353.png,1.9383430480957031,1.9383430480957031,0.2850705329153605,0.44366519286476597,0.9306273062730628,0.29125989344338027
355.png,5.3852081298828125,5.3852081298828125,0.45564732568005123,0.6260408240947805,0.4660161507402423,0.9534420289855072
359.png,5.1395416259765625,5.1395416259765625,0.4304608461155293,0.6018491834774256,0.9300452757366585,0.44486455781588385
360.png,3.529834747314453,3.529834747314453,0.6206604230582916,0.7659351881834259,0.8307891821792344,0.7104734178969987
365.png,0.3109931945800781,0.3109931945800781,0.3400383141762452,0.507505360972123,0.4354492486967188,0.6081370449678801
366.png,0.38013458251953125,0.38013458251953125,0.5100922003488662,0.6755775577557755,0.5135474159558454,0.9869816779170685
373.png,1.4153480529785156,1.4153480529785156,0.5119757272889524,0.6772274422777279,0.966444309682636,0.5212414143983719
382.png,0.11186599731445312,0.11186599731445312,0.2691148259797205,0.42409846685381125,0.8371696504688833,0.2839791787160208
383.png,7.997226715087891,7.997226715087891,0.30191819831744027,0.4638051741002318,0.35906364406072244,0.6548214518724719
387.png,2.6220321655273438,2.6220321655273438,0.7650756618385665,0.8669040975179909,0.8587691860042191,0.8751946030098599
393.png,1.3982772827148438,1.3982772827148438,0.37689227072486986,0.547453535382915,0.6418633201473196,0.4772554389167808
397.png,12.169837951660156,12.169837951660156,0.5188060439900228,0.6831761646498042,0.986121777290181,0.5226219350122931
403.png,4.602241516113281,4.602241516113281,0.3472742263674254,0.5155212199134248,0.9513448547391106,0.3535536337242882
419.png,0.5924224853515625,0.5924224853515625,0.7938066465256798,0.8850526315789473,0.8459433354797167,0.9279533815998587
430.png,17.965316772460938,17.965316772460938,0.32049179071300454,0.4854127726760858,0.9988002972714726,0.32061521369065166
442.png,9.052371978759766,9.052371978759766,0.7125050578819071,0.8321202376630187,0.760590385689152,0.918500801506323
443.png,2.728271484375,2.728271484375,0.5887697160883281,0.7411643237232944,0.9786073825503355,0.5964463760705612
445.png,0.4555702209472656,0.4555702209472656,0.5272042200452147,0.6904174479423665,0.7322587397948503,0.6530993278566094
454.png,4.604816436767578,4.604816436767578,0.23026855650876538,0.374338684493762,0.5114217665941804,0.2952097454841062
455.png,2.7360916137695312,2.7360916137695312,0.2809238435122214,0.4386269253009515,0.29083304287208084,0.8918341171440787
458.png,1.6946792602539062,1.6946792602539062,0.408806740962218,0.5803588655218985,0.5078221722003377,0.6770708283313326
461.png,1.5352249145507812,1.5352249145507812,0.3815368196371398,0.552336809578988,0.39973909802459934,0.893377759266972
462.png,5.812835693359375,5.812835693359375,0.39213028845067877,0.5633528581395726,0.5696285601785012,0.5572139303482587
463.png,0.685882568359375,0.685882568359375,0.7356806347632036,0.8477142857142858,0.825083426028921,0.8716216216216216
465.png,2.570819854736328,2.570819854736328,0.17761745886348895,0.30165561409883723,0.9854583225136329,0.17808421207875524
467.png,1.5913009643554688,1.5913009643554688,0.8277979183721202,0.905787133305608,0.848435814455232,0.9714540588760036
469.png,1.6851425170898438,1.6851425170898438,0.7712597594429205,0.870860138193948,0.8273910582908885,0.9191500062869358
473.png,3.248882293701172,3.248882293701172,0.7754669596609638,0.8735357821685895,0.8701382569642175,0.8769599431986272
478.png,2.220916748046875,2.220916748046875,0.5481547457692755,0.7081394767121917,0.6078237718996908,0.8481126423007789
485.png,12.751483917236328,12.751483917236328,0.799328331372776,0.8884741238559147,0.980824028300264,0.812018203770781
491.png,0.6405830383300781,0.6405830383300781,0.29472705538584143,0.4552728764874846,0.6607116272145303,0.3472885202284999
494.png,1.6707420349121094,1.6707420349121094,0.4193645535310947,0.5909187354126884,0.47691078257891434,0.7765591597732131
509.png,2.9587745666503906,2.9587745666503906,0.7595528071075586,0.8633475551735781,0.9065914585012087,0.8240412504028359
516.png,0.2239227294921875,0.2239227294921875,0.26807538549400345,0.4228067014952261,0.9995741056218058,0.2681060086817455
520.png,0.2730369567871094,0.2730369567871094,0.24543859649122807,0.3941400197210875,0.48864827104435904,0.3302644003777148
522.png,1.5751838684082031,1.5751838684082031,0.883827153074103,0.9383314723241346,0.8903553914149058,0.9917723226328568
525.png,0.20170211791992188,0.20170211791992188,0.6801029159519726,0.8095967330270546,0.7498817966903073,0.8796450360510261
527.png,2.08587646484375,2.08587646484375,0.4530663004896754,0.6236003138149918,0.7995153621068032,0.5111364433532094
530.png,0.3050804138183594,0.3050804138183594,0.36956996289019867,0.5396875996174689,0.5292278837136605,0.5505691056910569
533.png,4.589557647705078,4.589557647705078,0.6782331576698476,0.8082704772816481,0.7915844155844156,0.8256751484676406
538.png,4.128742218017578,4.128742218017578,0.8377997179125529,0.9117421335379893,0.9192710137897582,0.9043355753499364
545.png,11.378002166748047,11.378002166748047,0.42918811449737176,0.600604091433145,0.5283344648679458,0.6957779126883382
549.png,4.207515716552734,4.207515716552734,0.8278293595814636,0.9058059552900715,0.9073868401369025,0.9042305694215436
550.png,12.563800811767578,12.563800811767578,0.4598248740580666,0.629972652513902,0.9949370355470203,0.4609033528491306
557.png,3.3853530883789062,3.3853530883789062,0.7333807078672291,0.846185381594086,0.9012620429319962,0.7974525785787283
558.png,0.5290985107421875,0.5290985107421875,0.6813880126182965,0.8105065666041276,0.8175919250180245,0.8035429583702391
559.png,6.211185455322266,6.211185455322266,0.28705341472982926,0.44606293949359643,0.6403906094059482,0.34221667924776
561.png,0.211334228515625,0.211334228515625,0.3995192307692308,0.5709378220542769,0.75,0.46089850249584025
563.png,3.3133506774902344,3.3133506774902344,0.7873450750163079,0.881021897810219,0.903261088564603,0.8598514946433954
